Date,CementType,Price Before VAT,Quantity In Quintal,Quantity In Ton,Transportation,Total Price
11/17/2020,OPC-Bag,304.35,400,40,35,121740
11/17/2020,OPC-Bag,304.35,400,40,35,121740
11/17/2020,OPC-Bag,304.35,400,40,35,121740
11/18/2020,OPC-Bulk,286.96,1200,120,35,344352
11/20/2020,OPC-Bulk,300,816.2,81.62,35,244860
11/20/2020,OPC-Bulk,286.96,5508.6,550.86,35,1580747.86
11/20/2020,PPC-Bag,269.57,400,40,150,107828
11/20/2020,PPC-Bag,252.17,400,40,35,100868
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/20/2020,OPC-Bag,304.35,400,40,35,121740
11/21/2020,OPC-Bulk,263.26,113.4,11.34,35,29853.68
11/24/2020,OPC-Bulk,286.96,400,40,40,114784
11/25/2020,OPC-Bulk,286.96,800,80,40,229568
11/25/2020,PPC-Bag,252.17,400,40,35,100868
11/28/2020,OPC-Bulk,286.96,7586.9,758.69,35,2177136.82
11/30/2020,OPC-Bulk,286.96,800,80,40,229568
12/5/2020,OPC-Bulk,286.96,1661.4,166.14,40,476755.34
12/5/2020,OPC-Bulk,286.96,3787.5,378.75,35,1086861
12/5/2020,OPC-Bulk,317.39,3630.1,363.01,40,1152157.44
12/5/2020,OPC-Bag,304.35,400,40,35,121740
12/5/2020,PPC-Bag,252.17,800,80,120,201736
12/5/2020,PPC-Bag,269.57,1200,120,270,323484
12/5/2020,PPC-Bag,252.17,400,40,120,100868
12/5/2020,PPC-Bag,252.17,400,40,120,100868
12/5/2020,OPC-Bag,304.35,400,40,90,121740
12/7/2020,PPC-Bag,282.61,400,40,120,113044
12/7/2020,OPC-Bulk,317.39,400,40,45,126956
12/7/2020,OPC-Bulk,317.39,2000,200,45,634780
12/7/2020,PPC-Bag,282.61,400,40,120,113044
12/7/2020,PPC-Bag,282.61,400,40,120,113044
12/7/2020,PPC-Bag,252.17,400,40,120,100868
12/7/2020,PPC-Bag,282.61,350,35,125,98913.5
12/7/2020,OPC-Bulk,317.39,400,40,45,126956
12/8/2020,OPC-Bag,304.35,200,20,35,60870
12/8/2020,PPC-Bag,282.61,200,20,120,56522
12/8/2020,PPC-Bag,282.61,400,40,120,113044
12/8/2020,PPC-Bag,269.57,400,40,150,107828
12/8/2020,PPC-Bag,269.57,400,40,150,107828
12/8/2020,PPC-Bag,269.57,400,40,150,107828
12/9/2020,OPC-Bulk,317.39,2000,200,45,634780
12/9/2020,PPC-Bag,282.61,400,40,120,113044
